,source,target,value
4455,G1,G5,0.030514139
4456,G10,G5,0.053785781
4457,G100,G5,0.040751649
4458,G11,G5,0.040145301
4459,G12,G5,0.045489749
4460,G13,G5,0.031412312
4461,G14,G5,0.039729718
4462,G15,G5,0.075341642
4463,G16,G5,0.018806622
4464,G17,G5,0.03348932
4465,G18,G5,0.049752164
4466,G19,G5,0.022529869
4467,G2,G5,0.027762358
4468,G20,G5,0.078314323
4469,G21,G5,0.078721022
4470,G22,G5,0.135212616
4471,G23,G5,0.019724245
4472,G24,G5,0.030781198
4473,G25,G5,0.034107255
4474,G26,G5,0.036987186
4475,G27,G5,0.034314869
4476,G28,G5,0.04689794
4477,G29,G5,0.029830038
4478,G3,G5,0.034224351
4479,G30,G5,0.029070476
4480,G31,G5,0.026819981
4481,G32,G5,0.041006578
4482,G33,G5,0.018966412
4483,G34,G5,0.018814557
4484,G35,G5,0.035172757
4485,G36,G5,0.026246095
4486,G37,G5,0.037615363
4487,G38,G5,0.037689911
4488,G39,G5,0.083637591
4489,G4,G5,0.050252843
4490,G40,G5,0.043027484
4491,G41,G5,0.037065144
4492,G42,G5,0.060068699
4493,G43,G5,0.043673253
4494,G44,G5,0.045293305
4495,G45,G5,0.062471664
4496,G46,G5,0.087558195
4497,G47,G5,0.020887294
4498,G48,G5,0.046722083
4499,G49,G5,0.020341076
4500,G50,G5,0.04577612
4501,G51,G5,0.05431028
4502,G52,G5,0.030972869
4503,G53,G5,0.046774264
4504,G54,G5,0.028922631
4505,G55,G5,0.071604132
4506,G56,G5,0.025714456
4507,G57,G5,0.047525114
4508,G58,G5,0.05185388
4509,G59,G5,0.065749756
4510,G6,G5,0.045069769
4511,G60,G5,0.019046789
4512,G61,G5,0.025203149
4513,G62,G5,0.050495795
4514,G63,G5,0.071624853
4515,G64,G5,0.033492213
4516,G65,G5,0.033221468
4517,G66,G5,0.021169389
4518,G67,G5,0.023478303
4519,G68,G5,0.021908945
4520,G69,G5,0.032794608
4521,G7,G5,0.027135944
4522,G70,G5,0.052512182
4523,G71,G5,0.118088464
4524,G72,G5,0.023375818
4525,G73,G5,0.081974439
4526,G74,G5,0.035559187
4527,G75,G5,0.020474566
4528,G76,G5,0.02094555
4529,G77,G5,0.044439003
4530,G78,G5,0.028656211
4531,G79,G5,0.049877018
4532,G8,G5,0.040544311
4533,G80,G5,0.035727023
4534,G81,G5,0.029566285
4535,G82,G5,0.115606014
4536,G83,G5,0.040891212
4537,G84,G5,0.013090335
4538,G85,G5,0.06137313
4539,G86,G5,0.044435577
4540,G87,G5,0.02699014
4541,G88,G5,0.029718608
4542,G89,G5,0.02294786
4543,G9,G5,0.047758913
4544,G90,G5,0.031643712
4545,G91,G5,0.039333463
4546,G92,G5,0.034121738
4547,G93,G5,0.029061064
4548,G94,G5,0.02500116
4549,G95,G5,0.035128638
4550,G96,G5,0.065073863
4551,G97,G5,0.021070262
4552,G98,G5,0.033998235
4553,G99,G5,0.034905569
