source,target,value
G1,G72,0.018585692
G10,G72,0.038169586
G100,G72,0.076789442
G11,G72,0.027698786
G12,G72,0.022874358
G13,G72,0.021160583
G14,G72,0.026406927
G15,G72,0.057986101
G16,G72,0.017666871
G17,G72,0.021507325
G18,G72,0.047329035
G19,G72,0.020127244
G2,G72,0.157468661
G20,G72,0.038394474
G21,G72,0.063257232
G22,G72,0.023911216
G23,G72,0.023325223
G24,G72,0.188436485
G25,G72,0.036152312
G26,G72,0.034254426
G27,G72,0.022259983
G28,G72,0.027808858
G29,G72,0.039240811
G3,G72,0.234970554
G30,G72,0.019516873
G31,G72,0.058515161
G32,G72,0.028442979
G33,G72,0.021634543
G34,G72,0.016993577
G35,G72,0.019214272
G36,G72,0.031133072
G37,G72,0.031207188
G38,G72,0.033689742
G39,G72,0.036211471
G4,G72,0.026717766
G40,G72,0.034444582
G41,G72,0.027103852
G42,G72,0.022368494
G43,G72,0.016319116
G44,G72,0.016730217
G45,G72,0.036873788
G46,G72,0.018468275
G47,G72,0.019365178
G48,G72,0.038256578
G49,G72,0.04092109
G5,G72,0.021815534
G50,G72,0.024887511
G51,G72,0.064916294
G52,G72,0.028992046
G53,G72,0.028304653
G54,G72,0.021966067
G55,G72,0.047965937
G56,G72,0.033318927
G57,G72,0.018925528
G58,G72,0.039324185
G59,G72,0.04561505
G6,G72,0.026970251
G60,G72,0.022883588
G61,G72,0.016414149
G62,G72,0.023969773
G63,G72,0.027998538
G64,G72,0.027414413
G65,G72,0.041877312
G66,G72,0.018876238
G67,G72,0.016171347
G68,G72,0.021015534
G69,G72,0.02684503
G7,G72,0.02681756
G70,G72,0.0305937
G71,G72,0.099150141
G73,G72,0.025461418
G74,G72,0.033355589
G75,G72,0.014535094
G76,G72,0.029985027
G77,G72,0.020120262
G78,G72,0.021472757
G79,G72,0.05264585
G8,G72,0.037492418
G80,G72,0.025694126
G81,G72,0.024111613
G82,G72,0.054679227
G83,G72,0.034061143
G84,G72,0.020218453
G85,G72,0.044898445
G86,G72,0.025859494
G87,G72,0.078115287
G88,G72,0.025548836
G89,G72,0.029671651
G9,G72,0.040835694
G90,G72,0.042973077
G91,G72,0.016041774
G92,G72,0.017208477
G93,G72,0.012512388
G94,G72,0.592344095
G95,G72,0.017619775
G96,G72,0.029018982
G97,G72,0.014458807
G98,G72,0.02445367
G99,G72,0.032043248
