source,target,value
G10,G1,0.052552711
G100,G1,0.062627181
G11,G1,0.066333577
G12,G1,0.033736138
G13,G1,0.023837984
G14,G1,0.047978512
G15,G1,0.072073834
G16,G1,0.019986368
G17,G1,0.038223851
G18,G1,0.023005513
G19,G1,0.041964143
G2,G1,0.033765796
G20,G1,0.034657267
G21,G1,0.069323401
G22,G1,0.022597029
G23,G1,0.040864758
G24,G1,0.023064833
G25,G1,0.054524993
G26,G1,0.060283956
G27,G1,0.018285076
G28,G1,0.020237776
G29,G1,0.064339585
G3,G1,0.030566252
G30,G1,0.021450715
G31,G1,0.040876237
G32,G1,0.020497234
G33,G1,0.044115399
G34,G1,0.021387637
G35,G1,0.031076231
G36,G1,0.03787631
G37,G1,0.081217877
G38,G1,0.024799193
G39,G1,0.05219386
G4,G1,0.038354663
G40,G1,0.031794396
G41,G1,0.036102441
G42,G1,0.163434434
G43,G1,0.082859444
G44,G1,0.024773589
G45,G1,0.041925671
G46,G1,0.024728832
G47,G1,0.050648044
G48,G1,0.042383978
G49,G1,0.079459642
G5,G1,0.036622287
G50,G1,0.034120017
G51,G1,0.061108704
G52,G1,0.040160807
G53,G1,0.040401885
G54,G1,0.029393366
G55,G1,0.077277582
G56,G1,0.041822702
G57,G1,0.02561485
G58,G1,0.019376139
G59,G1,0.077524266
G6,G1,0.033672959
G60,G1,0.020814605
G61,G1,0.032743802
G62,G1,0.034152338
G63,G1,0.09897877
G64,G1,0.030908002
G65,G1,0.050083921
G66,G1,0.034488506
G67,G1,0.022301365
G68,G1,0.031549228
G69,G1,0.049559049
G7,G1,0.037079737
G70,G1,0.044190205
G71,G1,0.050612497
G72,G1,0.017537135
G73,G1,0.028714924
G74,G1,0.036056411
G75,G1,0.02473475
G76,G1,0.036578599
G77,G1,0.025904042
G78,G1,0.03316899
G79,G1,0.047704418
G8,G1,0.058326908
G80,G1,0.041430153
G81,G1,0.030821773
G82,G1,0.061975033
G83,G1,0.019972627
G84,G1,0.032324197
G85,G1,0.049008692
G86,G1,0.043454001
G87,G1,0.036459379
G88,G1,0.055955097
G89,G1,0.028636117
G9,G1,0.035426878
G90,G1,0.028352407
G91,G1,0.016700283
G92,G1,0.034043609
G93,G1,0.034162376
G94,G1,0.038350509
G95,G1,0.01981849
G96,G1,0.015506472
G97,G1,0.117108719
G98,G1,0.022715564
G99,G1,0.027520505
G1,G10,0.041888329
G100,G10,0.090820797
G11,G10,0.0415316
G12,G10,0.029406099
G13,G10,0.014893682
G14,G10,0.024655442
G15,G10,0.155925837
G16,G10,0.056411176
G17,G10,0.025278198
G18,G10,0.038374602
G19,G10,0.016513056
G2,G10,0.032538528
G20,G10,0.062991786
G21,G10,0.240185834
G22,G10,0.02294838
G23,G10,0.033141956
G24,G10,0.014845492
G25,G10,0.033519998
G26,G10,0.038255204
G27,G10,0.013914935
G28,G10,0.030987026
G29,G10,0.12945695
G3,G10,0.023227006
G30,G10,0.022144205
G31,G10,0.029469153
G32,G10,0.025231175
G33,G10,0.035192454
G34,G10,0.022066696
G35,G10,0.02107405
G36,G10,0.026448681
G37,G10,0.044471521
G38,G10,0.030885559
G39,G10,0.034733422
G4,G10,0.023153873
G40,G10,0.026339643
G41,G10,0.027044511
G42,G10,0.027783326
G43,G10,0.015304826
G44,G10,0.028229948
G45,G10,0.056152559
G46,G10,0.024870202
G47,G10,0.022314957
G48,G10,0.038603986
G49,G10,0.02440822
G5,G10,0.029288793
G50,G10,0.02658085
G51,G10,0.089487271
G52,G10,0.109496659
G53,G10,0.077348223
G54,G10,0.043181425
G55,G10,0.16684273
G56,G10,0.010665199
G57,G10,0.034665486
G58,G10,0.023779466
G59,G10,0.037453994
G6,G10,0.018121195
G60,G10,0.031550649
G61,G10,0.016654488
G62,G10,0.038042554
G63,G10,0.055191569
G64,G10,0.026586524
G65,G10,0.02901196
G66,G10,0.024835881
G67,G10,0.012637622
G68,G10,0.029570655
G69,G10,0.170120086
G7,G10,0.028687641
G70,G10,0.033646357
G71,G10,0.103341679
G72,G10,0.030053678
G73,G10,0.048592345
G74,G10,0.049884564
G75,G10,0.028402129
G76,G10,0.016559508
G77,G10,0.016017625
G78,G10,0.043247188
G79,G10,0.029914899
G8,G10,0.031792546
G80,G10,0.050038313
G81,G10,0.020528971
G82,G10,0.054102503
G83,G10,0.015650463
G84,G10,0.036789919
G85,G10,0.06382256
G86,G10,0.045445943
G87,G10,0.019336297
G88,G10,0.025096614
G89,G10,0.086849754
