,source,target,value
14,G31,G26,0.384956
46,G63,G26,0.175627
149,G49,G26,0.068498
279,G7,G26,0.042054
437,G56,G26,0.02948
858,G28,G26,0.017928
1343,G17,G26,0.013065
1449,G23,G26,0.01235
1664,G27,G26,0.011246
2258,G71,G26,0.009074
2432,G90,G26,0.008576
3371,G76,G26,0.006825
3509,G51,G26,0.006642
3583,G36,G26,0.006519
3690,G37,G26,0.006365
4091,G97,G26,0.005875
4117,G58,G26,0.005848
4845,G70,G26,0.005101
5222,G55,G26,0.004758
5310,G44,G26,0.004674
5321,G22,G26,0.004664
5467,G61,G26,0.004548
5914,G14,G26,0.004208
6135,G65,G26,0.004041
6201,G45,G26,0.003971
6923,G50,G26,0.003446
6938,G75,G26,0.003436
7112,G52,G26,0.003302
7353,G60,G26,0.003127
7459,G81,G26,0.003047
7596,G30,G26,0.002943
7611,G68,G26,0.002933
7641,G66,G26,0.002913
7656,G5,G26,0.002899
7679,G29,G26,0.002874
7703,G4,G26,0.002856
7959,G100,G26,0.00267
7978,G18,G26,0.002661
7985,G84,G26,0.002657
8025,G80,G26,0.002615
8065,G59,G26,0.002595
8077,G88,G26,0.002586
8177,G25,G26,0.002496
8178,G16,G26,0.002495
8219,G53,G26,0.002458
8231,G13,G26,0.002445
8270,G82,G26,0.00242
8289,G98,G26,0.002406
8387,G41,G26,0.002324
8503,G19,G26,0.002224
8516,G21,G26,0.002215
8522,G39,G26,0.002208
8538,G92,G26,0.002196
8629,G89,G26,0.002118
8719,G40,G26,0.002038
8756,G46,G26,0.002006
8791,G32,G26,0.001977
8795,G85,G26,0.001973
8876,G1,G26,0.001896
8888,G74,G26,0.00188
8912,G54,G26,0.001853
8924,G6,G26,0.00184
8965,G96,G26,0.001789
8984,G15,G26,0.001768
8992,G35,G26,0.001759
9015,G43,G26,0.001729
9029,G73,G26,0.001713
9055,G67,G26,0.001685
9108,G20,G26,0.00162
9127,G10,G26,0.001602
9128,G64,G26,0.001602
9140,G69,G26,0.001582
9172,G42,G26,0.001537
9183,G91,G26,0.001527
9186,G78,G26,0.001521
9247,G62,G26,0.001456
9291,G95,G26,0.001405
9294,G77,G26,0.001403
9312,G93,G26,0.001391
9337,G83,G26,0.00136
9347,G24,G26,0.001347
9348,G34,G26,0.001346
9364,G72,G26,0.001334
9371,G99,G26,0.001324
9380,G79,G26,0.001307
9386,G12,G26,0.001295
9398,G38,G26,0.001282
9401,G11,G26,0.001274
9458,G8,G26,0.001196
9476,G47,G26,0.001171
9502,G57,G26,0.001133
9503,G87,G26,0.001132
9545,G33,G26,0.001067
9595,G48,G26,0.000997
9625,G86,G26,0.000927
9641,G94,G26,0.00091
9747,G3,G26,0.000741
9752,G2,G26,0.000725
9758,G9,G26,0.000712
