source,target,value
G82,G48,0.880131
G26,G63,0.716839
G20,G39,0.635008
G82,G9,0.624139
G39,G20,0.620502
G51,G82,0.577757
G82,G51,0.571919
G68,G67,0.543728
G26,G31,0.54124
G51,G71,0.532523
G67,G68,0.489169
G59,G92,0.424328
G81,G34,0.413752
G7,G18,0.38772
G31,G26,0.384956
G86,G52,0.384437
G82,G88,0.334255
G71,G21,0.332561
G94,G72,0.33114
G20,G8,0.327869
G51,G70,0.325627
G72,G94,0.305955
G18,G7,0.301211
G39,G73,0.296594
G71,G38,0.29536
G82,G70,0.295265
G51,G32,0.29276
G7,G66,0.285684
G34,G81,0.283549
G94,G3,0.271256
G40,G81,0.26707
G92,G59,0.265766
G59,G25,0.24657
G36,G83,0.239222
G9,G57,0.231931
G7,G27,0.223709
G48,G11,0.219353
G3,G94,0.212796
G26,G49,0.208
G49,G56,0.200502
G81,G40,0.200183
G37,G85,0.199478
G51,G57,0.198213
G53,G55,0.193869
G85,G37,0.19038
G51,G38,0.179707
G63,G26,0.175627
G68,G99,0.172873
G35,G43,0.172361
G25,G59,0.171482
G26,G46,0.169858
G99,G8,0.166547
G71,G90,0.164098
G9,G13,0.156061
G20,G99,0.152837
G9,G82,0.14872
G8,G74,0.14598
G71,G15,0.137939
G18,G22,0.136953
G88,G11,0.135173
G60,G44,0.133997
G21,G37,0.13237
G8,G99,0.132207
G92,G13,0.131861
G82,G11,0.131291
G7,G22,0.129624
G20,G64,0.12936
G100,G61,0.129019
G85,G29,0.128785
G66,G7,0.127093
G43,G75,0.127092
G74,G8,0.125197
G71,G37,0.124444
G71,G51,0.118765
G72,G24,0.118117
G25,G85,0.11779
G25,G21,0.117395
G93,G77,0.117301
G26,G28,0.114289
G62,G16,0.111248
G7,G58,0.108912
G82,G90,0.108826
G86,G6,0.108791
G79,G6,0.108363
G71,G85,0.107017
G7,G17,0.106223
G25,G15,0.103197
G62,G45,0.103138
G21,G85,0.103133
G62,G95,0.102974
G31,G49,0.102965
G24,G72,0.101468
G74,G33,0.101289
G72,G3,0.0984
G89,G17,0.097651
G48,G88,0.096626
G52,G86,0.096267
G99,G50,0.095569
G53,G12,0.094608
G38,G71,0.093616
G100,G15,0.093208
G15,G29,0.093085
G92,G47,0.091518
G48,G82,0.090822
G10,G16,0.090596
G12,G36,0.090421
G66,G42,0.089974
G44,G60,0.088806
G68,G50,0.088716
G62,G100,0.088576
G51,G80,0.088519
G31,G37,0.086831
G82,G25,0.086472
G8,G20,0.083755
G53,G93,0.08327
G29,G83,0.082699
G68,G13,0.082599
G71,G53,0.082269
G94,G42,0.082264
G33,G86,0.081765
G43,G35,0.081627
G74,G44,0.08082
G42,G1,0.079646
G25,G29,0.079499
G69,G53,0.078577
G81,G24,0.077294
G75,G23,0.076996
G21,G29,0.07622
G27,G7,0.076166
G51,G99,0.075932
G53,G69,0.075467
G42,G93,0.074789
G78,G80,0.074721
G49,G76,0.074142
G75,G43,0.07403
G74,G2,0.07327
G3,G72,0.073084
G31,G47,0.072991
G20,G44,0.072498
G25,G74,0.072179
G97,G1,0.071839
G69,G10,0.07146
G93,G42,0.071386
G50,G68,0.071354
G84,G98,0.071087
G73,G98,0.070179
G71,G2,0.069794
G4,G78,0.068613
G15,G85,0.068594
G49,G26,0.068498
G86,G33,0.067732
G71,G32,0.066649
G79,G92,0.066631
G70,G93,0.065474
G12,G53,0.064771
G16,G62,0.064759
G12,G97,0.064566
G87,G100,0.064051
G87,G45,0.063664
G81,G77,0.063311
G22,G55,0.063303
G5,G46,0.063276
G82,G57,0.063095
G1,G98,0.062705
G86,G41,0.062371
G48,G21,0.062349
G70,G6,0.062257
G85,G54,0.062214
G80,G62,0.061869
G15,G37,0.06173
G26,G7,0.06099
G44,G79,0.060688
