source,target,value,z_score
G1,G43,0.018103,0.439032728
G10,G43,0.004264,-0.301501167
G100,G43,0.020062,0.543860092
G11,G43,0.003382,-0.348697561
G12,G43,0.004722,-0.276993289
G13,G43,0.003476,-0.343667559
G14,G43,0.015581,0.304078867
G15,G43,0.005113,-0.256070624
G16,G43,0.0138,0.208776398
G17,G43,0.002252,-0.409164596
G18,G43,0.003136,-0.361861181
G19,G43,0.002873,-0.375934482
G2,G43,0.007031,-0.153437196
G20,G43,0.004715,-0.277367863
G21,G43,0.003121,-0.36266384
G22,G43,0.006758,-0.168045604
G23,G43,0.003664,-0.333607557
G24,G43,0.006382,-0.188165609
G25,G43,0.01532,0.290112587
G26,G43,0.013598,0.197967246
G27,G43,0.004534,-0.287053291
G28,G43,0.009497,-0.021479932
G29,G43,0.016882,0.373696223
G3,G43,0.010578,0.036365081
G30,G43,0.012043,0.114758185
G31,G43,0.003139,-0.361700649
G32,G43,0.002442,-0.398997572
G33,G43,0.005141,-0.254572326
G34,G43,0.013811,0.209365015
G35,G43,0.172361,8.693478676
G36,G43,0.003218,-0.357473307
G37,G43,0.004858,-0.26971584
G38,G43,0.011592,0.090624881
G39,G43,0.005922,-0.212780508
G4,G43,0.008492,-0.075258136
G40,G43,0.003502,-0.342276283
G41,G43,0.007799,-0.112341017
G42,G43,0.017136,0.387287928
G44,G43,0.005667,-0.226425724
G45,G43,0.003128,-0.362289266
G46,G43,0.003546,-0.339921814
G47,G43,0.015573,0.303650781
G48,G43,0.002994,-0.369459693
G49,G43,0.002401,-0.401191509
G5,G43,0.014178,0.229003424
G50,G43,0.007411,-0.133103149
G51,G43,0.003107,-0.36341299
G52,G43,0.004609,-0.283039992
G53,G43,0.010898,0.05348849
G54,G43,0.008685,-0.06493058
G55,G43,0.002952,-0.37170714
G56,G43,0.004772,-0.274317756
G57,G43,0.003105,-0.363520011
G58,G43,0.00461,-0.282986482
G59,G43,0.002801,-0.379787249
G6,G43,0.003612,-0.336390111
G60,G43,0.003736,-0.32975479
G61,G43,0.003206,-0.358115435
G62,G43,0.003332,-0.351373093
G63,G43,0.020866,0.586882655
G64,G43,0.003063,-0.365767458
G65,G43,0.002954,-0.371600119
G66,G43,0.004089,-0.310865531
G67,G43,0.024151,0.762665143
G68,G43,0.005003,-0.261956796
G69,G43,0.010993,0.058572001
G7,G43,0.005889,-0.214546359
G70,G43,0.007138,-0.147711557
G71,G43,0.003952,-0.31819649
G72,G43,0.003444,-0.3453799
G73,G43,0.002723,-0.383961079
G74,G43,0.006385,-0.188005077
G75,G43,0.07403,3.431722887
G76,G43,0.008851,-0.056047812
G77,G43,0.002171,-0.413498959
G78,G43,0.032616,1.215632801
G79,G43,0.003614,-0.33628309
G8,G43,0.010013,0.006131564
G80,G43,0.008586,-0.070228135
G81,G43,0.005775,-0.220646574
G82,G43,0.003836,-0.324403725
G83,G43,0.003945,-0.318571064
G84,G43,0.005256,-0.248418601
G85,G43,0.006075,-0.204593378
G86,G43,0.031073,1.133065867
G87,G43,0.004612,-0.28287946
G88,G43,0.002367,-0.403010871
G89,G43,0.01396,0.217338102
G9,G43,0.004671,-0.279722332
G90,G43,0.003978,-0.316805213
G91,G43,0.007361,-0.135778682
G92,G43,0.002292,-0.40702417
G93,G43,0.012098,0.11770127
G94,G43,0.013015,0.166770537
G95,G43,0.015787,0.315102061
G96,G43,0.007147,-0.147229961
G97,G43,0.003484,-0.343239474
G98,G43,0.004723,-0.276939778
G99,G43,0.003334,-0.351266072
